time,E_total,E_kinetic,E_magnetic,E_internal,max_divB,rms_divB,Ez_center,max_Jz,mean_Jz,reconnection_rate,B0,eta,pert_amp,Nx,Ny
0.00022247146032012622,0.9955848856680523,1.7025877877947423e-08,0.44708035939678326,0.5485045092453912,3.407076602948381,0.9961215313469202,-0.15579025466478272,342.32002498695425,11.997826356141045,3.945033325026045e-07,1.5,0.005,0.2,128,128
0.010012433030275667,1.0145119760376167,4.642546826925141e-05,0.4135143125524761,0.6009512380168714,3.0171075411793247,0.9101734870496788,-0.14824671864813416,90.8767776112096,11.986669721768134,0.0001421127136541056,1.5,0.005,0.2,128,128
0.020017920801639163,1.0255143801699458,0.00011556407956036464,0.395816334964253,0.6295824811261324,2.708883812570253,0.8371828499856434,-0.14138482892790347,63.82916812784397,11.964807772780013,0.0006620591961154766,1.5,0.005,0.2,128,128
0.030019228384068442,1.0345233825681066,0.0001937106834477921,0.3816020828637188,0.65272758902094,2.4461857605500583,0.7756844081432842,-0.13497638119196156,51.89578702426989,11.925977093644626,0.0017670823815126887,1.5,0.005,0.2,128,128
0.040214026376774,1.042586869124003,0.00028037594550393315,0.3690099660134305,0.6732965271650686,2.2311001914910342,0.7221800973058984,-0.1288397432523464,44.70827195556099,11.922342173690051,0.0033165069573990956,1.5,0.005,0.2,128,128
0.05014827216041629,1.0497151488693048,0.0003683937595897926,0.35795179206999483,0.6913949630397201,2.048937856264546,0.6771252346047875,-0.12330192455438399,39.95287570353765,11.949686879629184,0.0038850386841441783,1.5,0.005,0.2,128,128
0.06005989664155003,1.056295945906328,0.0004587403251850716,0.347792861941231,0.708044343639912,1.895225548506012,0.6377932620256758,-0.11824567671356195,36.44575292656392,11.949674999555228,0.0035416742590479106,1.5,0.005,0.2,128,128
0.07017729117105671,1.062582210179255,0.0005503419860104636,0.3381291201767221,0.7239027480165223,1.7594834863619422,0.6023694221049096,-0.11355361296222578,33.665930170828055,11.927428894782096,0.005539417990224954,1.5,0.005,0.2,128,128
0.08007255490913426,1.0683865972991509,0.0006307655140082699,0.32923692226474477,0.7385189095203978,1.6411577264675206,0.5715285667940109,-0.10937884305216608,31.480327849992285,11.89681520115268,0.008704215814960599,1.5,0.005,0.2,128,128
0.09020685456201638,1.0740395608206383,0.0006994928597373342,0.3205836506082232,0.7527564173526777,1.538087210801942,0.5432012005254367,-0.10546506465825273,29.645579627034213,11.861040979401665,0.00881805706749617,1.5,0.005,0.2,128,128
